Seed,Mean,Std
13,-44.11405944824219,19.984331130981445
13,-44.11405944824219,19.984331130981445
13,-44.11405944824219,19.984331130981445
13,-44.11405944824219,19.984331130981445
13,-44.11405944824219,19.984331130981445
13,-44.11405944824219,19.984331130981445
13,-44.11405944824219,19.984331130981445
13,-44.11405944824219,19.984331130981445
13,-44.11405944824219,19.984331130981445
13,-44.11405944824219,19.984331130981445
13,-44.11405944824219,19.984331130981445
13,-44.11405944824219,19.984331130981445
13,-44.11405944824219,19.984331130981445
13,-44.11405944824219,19.984331130981445
